texto_original,texto_limpo,entidades,lemmas,noun_chunks,score_sentimento
"Defender a Elize Matsunaga é igual defender o Goleiro Bruno. Eu realmente fiquei surpreso ao me deparar com uma legião de pessoas, principalmente no twitter, Tiktok e Instagram, que abertamente apoiam a Elize Matsunaga, condenada por matar e esquartejar o próprio marido. Depois que aquela série ""Tremembé"" foi lançada, parace que o fã clube dela aumentou, exponencialmente, a ponto ter até perfis em redes sociais só com edites e cortes de entrevista ou depoimento. 

E, assim, isso é completamente loucura. 

A galera jura que ela fez o que fez para se defender (???) e que Marcos ""mereceu"" o destino que teve por suas falhas de caráter e moral. 

 A galera é incapaz de entender que o crime dela não foi passional e nem para se defender: ela calculou aquilo, planejou e executou um plano — ainda que um plano bem falho e ela tenha sido bem burra na execução. Depois, com a repercussão, a defesa apelou para a tese de ""esposa oprimida"" que não colou no juri.

Ela fez o que fez por sentimento de posse. Ela simplesmente não suportou a ideia de ver o Marcos repetindo com ela aquilo que fez com a esposa anterior. O que ela esperava? Que fosse promovida de amante à esposa e o cargo anterior ficasse vago? Ela era narcisista, isso sim. E por falar em narcisismo, quem as defende não se dão conta que a maior vítima da história é a filha do casal que cresceu sem pai e sem mãe. Se ela tava tão preocupada assim com o futuro da filha — de acordo com a tese de alguns, o motivo do crime — como não pensou, em nenhum momento, no seu destino caso ela fosse presa pelo crime? O crime dela é qualificado em mil graus.

Eu percebo que a discussão não gira em torno dos aspectos jurídicos do caso, mas sim na rivalidade de gênero.  Isso é bizarro. Argumentar que exista algum tipo de ""motivo"" que justifique o planejamento de uma homicídio a sangue frio e a ocultação de cadáver, é dar salvo conduto, inclusive, para o goleiro Bruno — uma das motivações teria sido chantagens feitas por Elisa, o que, obviamente, está longe de justificar a barbaridade.

Aí eu pergunto: as pessoas são sem noção ou simplesmente escolhem o crime que querem taxar de abominável?","Defender a Elize Matsunaga é igual defender o Goleiro Bruno. Eu realmente fiquei surpreso ao me deparar com uma legião de pessoas, principalmente no twitter, Tiktok e Instagram, que abertamente apoiam a Elize Matsunaga, condenada por matar e esquartejar o próprio marido. Depois que aquela série ""Tremembé"" foi lançada, parace que o fã clube dela aumentou, exponencialmente, a ponto ter até perfis em redes sociais só com edites e cortes de entrevista ou depoimento. E, assim, isso é completamente loucura. A galera jura que ela fez o que fez para se defender (?) e que Marcos ""mereceu"" o destino que teve por suas falhas de caráter e moral. A galera é incapaz de entender que o crime dela não foi passional e nem para se defender: ela calculou aquilo, planejou e executou um plano — ainda que um plano bem falho e ela tenha sido bem burra na execução. Depois, com a repercussão, a defesa apelou para a tese de ""esposa oprimida"" que não colou no juri. Ela fez o que fez por sentimento de posse. Ela simplesmente não suportou a ideia de ver o Marcos repetindo com ela aquilo que fez com a esposa anterior. O que ela esperava? Que fosse promovida de amante à esposa e o cargo anterior ficasse vago? Ela era narcisista, isso sim. E por falar em narcisismo, quem as defende não se dão conta que a maior vítima da história é a filha do casal que cresceu sem pai e sem mãe. Se ela tava tão preocupada assim com o futuro da filha — de acordo com a tese de alguns, o motivo do crime — como não pensou, em nenhum momento, no seu destino caso ela fosse presa pelo crime? O crime dela é qualificado em mil graus. Eu percebo que a discussão não gira em torno dos aspectos jurídicos do caso, mas sim na rivalidade de gênero. Isso é bizarro. Argumentar que exista algum tipo de ""motivo"" que justifique o planejamento de uma homicídio a sangue frio e a ocultação de cadáver, é dar salvo conduto, inclusive, para o goleiro Bruno — uma das motivações teria sido chantagens feitas por Elisa, o que, obviamente, está longe de justificar a barbaridade. Aí eu pergunto: as pessoas são sem noção ou simplesmente escolhem o crime que querem taxar de abominável?","Defender, Elize Matsunaga, Goleiro Bruno, twitter, Tiktok, Instagram, Elize Matsunaga, Tremembé, parace, Marcos, Marcos, Bruno, Elisa",defender elize matsunaga igual defender goleiro bruno realmente fiquei surpreso deparar legião pessoa principalmente twitter tiktok instagram abertamente apoiar elize matsunaga condenar matar esquartejar marido série tremembé lançar parace fã clube de ela aumentar exponencialmente perfi rede social edite corte entrevista depoimento completamente loucura galera jurar defender marcos merecer destino falha caráter moral galera incapaz entender crime de ela passional defender calcular planejar executar plano plano falho ter ser burro execução repercussão defesa apelar tese esposo oprimido colar juri sentimento posse simplesmente suportar ideia marcos repetir esposa anterior esperar ser promovir amante esposo cargo anterior ficar vago narcisista falar narcisismo defender conta vítima história filha casal crescer pai mãe tar preocupado futuro filha acordo tese motivo crime pensar nenhum destino caso ser presa crime crime de ela qualificar grau perceber discussão giro torno aspecto jurídico caso rivalidade gênero bizarro argumentar existir algum motivo justifiquar planejamento homicídio sangue frio ocultação cadáver salvo conduto goleiro bruno motivação ter ser chantagem fazer elisa obviamente justificar barbaridade perguntar pessoa noção simplesmente escolher crime taxar abominável,"Elize Matsunaga, o Goleiro Bruno, Eu, surpreso, me, uma legião, pessoas, , principalmente no twitter, , Tiktok, Instagram, que, Elize Matsunaga, condenada por matar e esquartejar o próprio marido, aquela série, Tremembé, parace, dela, perfis, redes sociais, só com edites, cortes, entrevista, depoimento, isso, A galera, ela, o, que, e que Marcos "", o destino, que, suas falhas, caráter, A galera, o crime, dela, ela, aquilo, um plano, ela, execução, a repercussão, a defesa, a tese, ""esposa oprimida, que, juri, Ela, o, que, sentimento, posse, Ela, a ideia, o Marcos, ela, aquilo, que, a esposa anterior, O, que, ela, amante, esposa, o cargo anterior, Ela, , isso, narcisismo, quem, as, conta, a maior vítima, história, casal, que, pai, sem mãe, ela, o futuro, filha, acordo, a tese, crime, nenhum momento, seu destino, ela, crime, O crime, dela, mil graus, Eu, a discussão, torno dos aspectos jurídicos, caso, gênero, Isso, algum tipo, ""motivo, que, o planejamento, uma homicídio, sangue frio, a ocultação, cadáver, conduto, o goleiro, Bruno, motivações, Elisa, o, que, a barbaridade, eu, as pessoas, o crime, que",1 star
Qual a sua opinião sobre o caso Elize Matsunaga?. ,Qual a sua opinião sobre o caso Elize Matsunaga?.,Elize Matsunaga,opinião caso elize matsunaga,"a sua opinião, o caso, Elize Matsunaga",3 stars
Has anyone else watched the Elize Matsunaga docuseries yet?. I can't stop. I'm on the last episode.,Has anyone else watched the Elize Matsunaga docuseries yet?. I can't stop. I'm on the last episode.,"Has anyone, Elize Matsunaga, I can't stop, I'm on the last episode",has anyone else watched the elize matsunaga docuseries yet i can't stop i'm on the last episode,"Has anyone else watched the Elize Matsunaga docuseries yet?., I can't stop.",1 star
"Elize Matsunaga shot her husband in the head, chopped up his body, packed his dismembered body into suitcases, wheeled those suitcases into the elevator of their apartment building, and drove them to a wooded area and buried them in a shallow grave..I mean this woman is a real jerk.. ","Elize Matsunaga shot her husband in the head, chopped up his body, packed his dismembered body into suitcases, wheeled those suitcases into the elevator of their apartment building, and drove them to a wooded area and buried them in a shallow grave.I mean this woman is a real jerk.","Elize Matsunaga, chopped up his body, packed his dismembered, wheeled those, into the elevator of their apartment building, I mean this woman is a real jerk",elize matsunaga shot her husband in the head chopped up his body packed his dismembered body into suitcases wheeled those suitcases into the elevator of their apartment building and drove them to wooded area and buried them in shallow grave i mean this woman is real jerk,"Elize Matsunaga, her husband in the head, chopped up his body, packed his dismembered, body, suitcases, , wheeled, , and, wooded area and buried them in, a shallow grave, I mean this woman is a real jerk.",1 star
"Netflix documentary about Brazilian woman that murdered and dismembered his Japanese husband. Doing my research about the Asian American experience dating in South America I stumbled across a Netflix documentary called  ""Elize Matsunaga: Once Upon a Crime"" which consists of 4 episodes. 

I highly recommend if you are Asian to binge it to try to understand how Asians are perceived in South America. From what I've been able to digest is that South Americans tend to see Asians as privileged with a secure income.

The victim was Marcos Kitano Matsunaga was the heir of the food company ""Yoki"". Marcos met her future wife a White Brazilian **Elize Araújo Giacomini in an escort website.**

**He ended up marrying her and having a daughter but was unable to satisfy his womanizing ways and kept hooking up with escorts to the point that he even made reviews about his experiences in forums dedicated to the escort experience.**

The rest you can make the conjectures. 

With recent cases of the dangers of dating in Colombia. I've been also considering Brazil and Peru from reading that Asians are numerous in those countries and I won't stand out as much as in Colombia. The thing is I wonder how genuine dating is in those countries in a way I could read their intentions if they are truly interested in me or my money. I have no connections nor friends to go with.

&amp;#x200B;

&amp;#x200B;

&amp;#x200B;

&amp;#x200B;","Netflix documentary about Brazilian woman that murdered and dismembered his Japanese husband. Doing my research about the Asian American experience dating in South America I stumbled across a Netflix documentary called ""Elize Matsunaga: Once Upon a Crime"" which consists of 4 episodes. I highly recommend if you are Asian to binge it to try to understand how Asians are perceived in South America. From what I've been able to digest is that South Americans tend to see Asians as privileged with a secure income. The victim was Marcos Kitano Matsunaga was the heir of the food company ""Yoki"". Marcos met her future wife a White Brazilian **Elize Araújo Giacomini in an escort website.** **He ended up marrying her and having a daughter but was unable to satisfy his womanizing ways and kept hooking up with escorts to the point that he even made reviews about his experiences in forums dedicated to the escort experience.** The rest you can make the conjectures. With recent cases of the dangers of dating in Colombia. I've been also considering Brazil and Peru from reading that Asians are numerous in those countries and I won't stand out as much as in Colombia. The thing is I wonder how genuine dating is in those countries in a way I could read their intentions if they are truly interested in me or my money. I have no connections nor friends to go with. &; &; &; &;","Netflix, Brazilian woman that murdered and dismembered, Japanese husband, Doing my research about the Asian American experience dating in South America I stumbled across, Netflix, Elize Matsunaga, Once Upon a Crime, I highly recommend if you are Asian to binge it to try to understand how Asians are perceived in, South America, From what I've been able to digest is that South Americans tend to see Asians, Marcos, Yoki, Marcos, White Brazilian *, Elize, daughter but was unable to satisfy, **, Colombia, I've been also considering, Brazil, Peru, Colombia, The thing is I wonder how genuine dating is in those countries in a way I could read their intentions if they are truly interested in me or my money",netflix documentary about brazilian woman that murdered and dismembered his japanese husband doing my research about the asian american experience dating in south america i stumbled across netflix documentary called elize matsunaga once upon crime which consists of 4 episode i highly recommend if you are asian to binge it to try to understand how asians are perceived in south america from what i've been able to digest is that south americans tend to see asians privileged with secure income the victim was marcos kitano matsunaga was the heir of the food company yoki marcos met her future wife white brazilian elize araújo giacomini in an escort website he ended up marrying her and having daughter but was unable to satisfy his womanizing ways and kept hooking up with escorts to the point that he even made reviews about his experiences in forums dedicated to the escort experience the rest you can make the conjectur with recent case of the dangers of dating in colombia i've been also considering brazil and peru from reading that asians are numerous in those countries and i won't stand out much in colombia the thing is i wonder how genuine dating is in those countries in way i could read their intentions if they are truly interested in or my money i have connections nor friends to go with,"Netflix documentary about Brazilian woman that murdered and dismembered his Japanese husband., Doing my research about the Asian American experience dating in South America I stumbled across a Netflix documentary called ""Elize Matsunaga:, Once Upon a Crime"" which consists of 4 episodes., I highly recommend if you are Asian to binge it to try to understand how Asians are, South America., From what I've been able to digest is that South Americans tend to see Asians as privileged with a secure income., The victim was Marcos Kitano Matsunaga was the heir of the food company ""Yoki""., Marcos met her future wife a White Brazilian **Elize Araújo Giacomini in an escort website., He ended up marrying her and, a daughter but was unable to satisfy his, womanizing, reviews, about his, The rest you can make the conjectures., With recent cases of, the, dangers, of dating in Colombia., I've been also, Brazil and, and I, won't stand out, as much as in Colombia, The thing is I wonder how genuine dating is in those countries in a way I could read their intentions if they are truly interested in me or my money., I have no connections nor friends to go with., &, &, &, &",4 stars
"Elize Matsunaga é condenada a 19 anos e 11 meses de prisão por matar e esquartejar o marido, diretor da Yoki. ","Elize Matsunaga é condenada a 19 anos e 11 meses de prisão por matar e esquartejar o marido, diretor da Yoki.","Elize Matsunaga, Yoki",elize matsunaga condenar 19 ano 11 prisão matar esquartejar marido diretor yoki,"Elize Matsunaga, 19 anos, 11 meses, prisão, o marido, , diretor, Yoki",1 star
"Does this Brazilian criminal pass as fully European? She's obviously predominantly European, but her mother is black/mulatta.. Her mother is in the last picture.","Does this Brazilian criminal pass as fully European? She' obviously predominantly European, but her mother is black/mulatta. Her mother is in the last picture.","Does this Brazilian, European?, Her mother is in the last picture",does this brazilian criminal pass fully european she obviously predominantly european but her mother is black mulatta her mother is in the last picture,"Does this Brazilian criminal, as fully European, She, , but, /mulatta, Her mother is in the last picture.",1 star
Uberização da Elize Matsunaga. ,Uberização da Elize Matsunaga.,Elize Matsunaga,uberização elize matsunaga,"Uberização, Elize Matsunaga",1 star
Uberização da Elize Matsunaga. ,Uberização da Elize Matsunaga.,Elize Matsunaga,uberização elize matsunaga,"Uberização, Elize Matsunaga",1 star
Gente que idolatra assassinos são idiotas. ,Gente que idolatra assassinos são idiotas.,,gente idolatrar assassino idiota,"Gente, que, assassinos",1 star
